iter	Passed	Remaining
501	599	594
502	599	592
503	600	591
504	601	589
505	602	588
506	603	587
507	604	585
508	605	583
509	606	582
510	606	580
511	607	579
512	608	577
513	609	575
514	609	574
515	610	572
516	611	571
517	612	570
518	613	568
519	614	566
520	615	565
521	616	564
522	617	562
523	618	561
524	618	559
525	619	558
526	620	557
527	621	555
528	622	554
529	623	553
530	624	551
531	625	550
532	626	549
533	627	547
534	628	546
535	629	544
536	630	543
537	631	542
538	632	540
539	633	539
540	634	538
541	635	536
542	635	535
543	636	533
544	637	532
545	638	531
546	639	529
547	640	528
548	641	527
549	642	525
550	643	524
551	644	522
552	645	521
553	646	520
554	647	518
555	648	517
556	649	516
557	651	515
558	652	514
559	654	514
560	655	513
561	656	511
562	657	510
563	658	509
564	659	507
565	660	506
566	661	505
567	662	503
568	663	502
569	664	501
570	665	499
571	666	498
572	667	497
573	668	495
574	669	494
575	670	493
576	671	491
577	672	490
578	673	489
579	673	488
580	674	486
581	675	485
582	676	484
583	677	482
584	678	481
585	679	480
586	680	478
587	681	477
588	682	476
589	683	474
590	684	473
591	685	472
592	686	470
593	686	469
594	687	468
595	688	466
596	689	465
597	690	464
598	691	462
599	692	461
600	693	460
601	694	459
602	695	457
603	695	456
604	696	454
605	697	453
606	698	452
607	699	451
608	700	449
609	701	448
610	702	447
611	703	445
612	704	444
613	705	443
614	705	441
615	706	440
616	707	439
617	708	438
618	709	437
619	710	435
620	712	434
621	713	433
622	714	432
623	715	431
624	716	429
625	717	428
626	718	427
627	719	426
628	720	424
629	720	423
630	721	422
631	722	420
632	723	419
633	724	418
634	725	417
635	726	415
636	727	414
637	728	413
638	729	412
639	730	410
640	731	409
641	732	408
642	733	407
643	734	405
644	735	404
645	736	403
646	736	402
647	737	400
648	738	399
649	739	398
650	740	397
651	741	395
652	742	394
653	743	393
654	744	392
655	745	390
656	746	389
657	747	388
658	748	387
659	749	385
660	750	384
661	751	383
662	752	382
663	752	381
664	753	379
665	755	378
666	756	377
667	756	376
668	757	375
669	758	373
670	759	372
671	760	371
672	761	370
673	762	368
674	763	367
675	764	366
676	765	365
677	766	364
678	767	362
679	768	361
680	769	360
681	770	359
682	771	358
683	772	356
684	773	355
685	774	354
686	775	353
687	775	351
688	776	350
689	777	349
690	809	361
691	811	360
692	813	360
693	814	359
694	815	357
695	816	356
696	817	355
697	818	354
698	819	353
699	820	351
700	822	350
701	823	349
702	824	348
703	825	346
704	826	345
705	827	344
706	828	343
707	829	342
708	831	341
709	832	339
710	833	338
711	834	337
712	835	336
713	836	335
714	837	334
715	839	332
716	840	331
717	847	332
718	848	331
719	849	330
720	850	329
721	851	328
722	852	326
723	853	325
724	855	324
725	856	323
726	857	322
727	858	320
728	859	319
729	860	318
730	862	317
731	863	316
732	864	314
733	866	313
734	867	312
735	868	311
736	869	310
737	870	309
738	871	307
739	872	306
740	873	305
741	874	304
742	875	302
743	876	301
744	877	300
745	878	299
746	879	297
747	880	296
748	883	296
749	884	294
750	885	293
751	888	293
752	889	291
753	890	290
754	892	289
755	893	288
756	894	287
757	896	286
758	897	284
759	898	283
760	898	282
761	899	281
762	900	279
763	901	278
764	902	277
765	903	275
766	904	274
767	904	273
768	905	272
769	906	270
770	907	269
771	908	268
772	909	266
773	910	265
774	910	264
775	911	263
776	912	261
777	913	260
778	914	259
779	915	258
780	915	256
781	916	255
782	917	254
783	918	253
784	919	251
785	920	250
786	921	249
787	922	248
788	923	246
789	923	245
790	924	244
791	925	243
792	926	241
793	927	240
794	928	239
795	929	238
796	930	236
797	930	235
798	931	234
799	932	233
800	933	231
801	934	230
802	935	229
803	936	228
804	937	227
805	938	225
806	938	224
807	939	223
808	940	222
809	941	220
810	942	219
811	943	218
812	943	217
813	944	215
814	945	214
815	946	213
816	947	212
817	948	210
818	949	209
819	949	208
820	950	207
821	951	206
822	952	204
823	953	203
824	954	202
825	954	201
826	955	199
827	956	198
828	957	197
829	958	196
830	959	195
831	960	193
832	961	192
833	962	191
834	962	190
835	963	189
836	964	187
837	965	186
838	966	185
839	967	184
840	968	183
841	969	181
842	969	180
843	971	179
844	972	178
845	973	177
846	973	175
847	974	174
848	975	173
849	976	172
850	977	171
851	978	170
852	979	168
853	980	167
854	981	166
855	982	165
856	983	164
857	985	163
858	986	161
859	986	160
860	987	159
861	988	158
862	989	157
863	990	155
864	991	154
865	991	153
866	992	152
867	993	151
868	994	149
869	995	148
870	996	147
871	997	146
872	998	145
873	999	144
874	999	142
875	1000	141
876	1001	140
877	1002	139
878	1003	138
879	1004	136
880	1005	135
881	1005	134
882	1006	133
883	1007	132
884	1008	131
885	1009	129
886	1010	128
887	1011	127
888	1012	126
889	1013	125
890	1014	124
891	1014	122
892	1015	121
893	1016	120
894	1017	119
895	1018	118
896	1019	117
897	1020	115
898	1021	114
899	1021	113
900	1022	112
901	1023	111
902	1024	110
903	1025	108
904	1026	107
905	1027	106
906	1027	105
907	1028	104
908	1029	103
909	1030	101
910	1031	100
911	1032	99
912	1033	98
913	1034	97
914	1035	96
915	1035	94
916	1036	93
917	1037	92
918	1038	91
919	1039	90
920	1040	89
921	1041	88
922	1042	86
923	1042	85
924	1043	84
925	1044	83
926	1045	82
927	1046	81
928	1047	80
929	1047	78
930	1048	77
931	1049	76
932	1050	75
933	1051	74
934	1052	73
935	1053	72
936	1054	70
937	1055	69
938	1057	68
939	1058	67
940	1059	66
941	1061	65
942	1061	64
943	1062	63
944	1063	61
945	1064	60
946	1065	59
947	1066	58
948	1067	57
949	1068	56
950	1068	55
951	1069	53
952	1070	52
953	1071	51
954	1072	50
955	1073	49
956	1074	48
957	1075	47
958	1075	46
959	1076	44
960	1077	43
961	1078	42
962	1079	41
963	1080	40
964	1081	39
965	1082	38
966	1083	36
967	1083	35
968	1084	34
969	1085	33
970	1086	32
971	1087	31
972	1088	30
973	1089	29
974	1090	27
975	1091	26
976	1092	25
977	1092	24
978	1093	23
979	1094	22
980	1095	21
981	1096	20
982	1097	18
983	1098	17
984	1099	16
985	1100	15
986	1101	14
987	1102	13
988	1102	12
989	1103	11
990	1104	10
991	1105	8
992	1106	7
993	1107	6
994	1108	5
995	1109	4
996	1110	3
997	1110	2
998	1111	1
999	1112	0
